YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,CG2,21,10
2020-10,WEEKDAY,16,TRAIN,NE5,9471,6963
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,NE5,3649,3734
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,17627,13288
2020-10,WEEKDAY,11,TRAIN,NE16/STC,34662,27337
2020-10,WEEKDAY,13,TRAIN,EW9,19118,11558
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,EW9,7196,6612
2020-10,WEEKENDS/HOLIDAY,17,TRAIN,CC6,4371,4071
2020-10,WEEKDAY,17,TRAIN,CC6,7736,7037
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,NE8,4426,6495
2020-10,WEEKDAY,8,TRAIN,NE8,16818,24134
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1265,2227
2020-10,WEEKDAY,20,TRAIN,CC7,3082,5459
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,NS3,3016,7833
2020-10,WEEKDAY,20,TRAIN,NS3,7259,22199
2020-10,WEEKDAY,10,TRAIN,SE3,2774,1147
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1354,408
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3,4078,5538
2020-10,WEEKDAY,9,TRAIN,EW16/NE3,13759,41969
2020-10,WEEKDAY,18,TRAIN,NE16/STC,46516,87976
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,15542,20700
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,TE3,1164,565
2020-10,WEEKDAY,12,TRAIN,TE3,4446,1418
2020-10,WEEKENDS/HOLIDAY,5,TRAIN,EW15,119,48
2020-10,WEEKDAY,5,TRAIN,EW15,655,767
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,NS7,2476,2120
2020-10,WEEKDAY,18,TRAIN,NS7,16069,5475
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,NS15,168,446
2020-10,WEEKDAY,0,TRAIN,NS15,464,941
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,NS15,4905,4458
2020-10,WEEKDAY,15,TRAIN,NS15,21600,12850
2020-10,WEEKDAY,22,TRAIN,DT7,1812,1330
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,DT7,764,505
2020-10,WEEKDAY,15,TRAIN,PW4,777,868
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,PW4,405,429
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,EW23,14840,14497
2020-10,WEEKDAY,15,TRAIN,EW23,32881,31371
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,NE8,11070,8236
2020-10,WEEKDAY,20,TRAIN,NE8,19185,18241
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1143,1068
2020-10,WEEKDAY,19,TRAIN,EW33,4330,2155
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,CC16,985,699
2020-10,WEEKDAY,6,TRAIN,CC16,7433,4211
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,BP12,611,366
2020-10,WEEKDAY,11,TRAIN,BP12,2595,1279
2020-10,WEEKDAY,13,TRAIN,NE17/PTC,36839,37441
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,17313,16465
2020-10,WEEKDAY,7,TRAIN,BP5,5205,2614
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,BP5,414,261
2020-10,WEEKDAY,8,TRAIN,SW6,6199,1982
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1332,480
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,EW4,4537,4069
2020-10,WEEKDAY,16,TRAIN,EW4,12728,10469
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,CC2,1166,1473
2020-10,WEEKDAY,14,TRAIN,CC2,2142,3489
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,NE14,14013,8337
2020-10,WEEKDAY,12,TRAIN,NE14,27980,17583
2020-10,WEEKDAY,20,TRAIN,NE4/DT19,51479,18758
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,22613,8504
2020-10,WEEKDAY,0,TRAIN,SE5,17,201
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,SE5,13,94
2020-10,WEEKDAY,23,TRAIN,EW6,932,4514
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,EW6,383,1940
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,2243,6882
2020-10,WEEKDAY,12,TRAIN,CC4/DT15,6945,13812
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,23140,19847
2020-10,WEEKDAY,15,TRAIN,NE4/DT19,43252,35026
2020-10,WEEKDAY,8,TRAIN,SW1,2002,4544
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,SW1,477,491
2020-10,WEEKDAY,9,TRAIN,NS10,57374,22346
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,NS10,20286,7896
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,DT33,4984,1612
2020-10,WEEKDAY,7,TRAIN,DT33,44687,12392
2020-10,WEEKDAY,0,TRAIN,DT24,37,250
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,DT24,24,130
2020-10,WEEKDAY,0,TRAIN,NS18,146,1041
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,NS18,72,472
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,12124,2232
2020-10,WEEKDAY,22,TRAIN,NS24/NE6/CC1,28554,4570
2020-10,WEEKDAY,21,TRAIN,EW3,8346,14749
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,EW3,3291,5782
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,4061,685
2020-10,WEEKDAY,21,TRAIN,CG1/DT35,10345,1330
2020-10,WEEKDAY,13,TRAIN,NS21/DT11,44019,49061
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,20760,20636
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,CC23,507,2097
2020-10,WEEKDAY,7,TRAIN,CC23,2283,20921
2020-10,WEEKDAY,16,TRAIN,SW1,3175,1534
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,SW1,919,455
2020-10,WEEKDAY,20,TRAIN,NE15,4389,20998
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,NE15,1979,7411
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,EW29,3893,2688
2020-10,WEEKDAY,13,TRAIN,EW29,6499,6025
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,EW30,661,124
2020-10,WEEKDAY,13,TRAIN,EW30,880,487
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,EW32,578,3352
2020-10,WEEKDAY,7,TRAIN,EW32,1447,23436
2020-10,WEEKDAY,7,TRAIN,NE14,64487,24310
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,NE14,8682,3775
2020-10,WEEKDAY,13,TRAIN,SE3,3585,2966
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1202,906
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,EW30,751,333
2020-10,WEEKDAY,20,TRAIN,EW30,4617,490
2020-10,WEEKDAY,12,TRAIN,NS17/CC15,18403,7488
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,7732,2916
